Cipher,Mode,CPU,Length,Speed
AES-256-CTR,Encryption Only,Apple M1,8192,69.5
AES-256-CTR,Encryption Only,Apple M1,16384,69.67
AES-256-GCM,AEAD,Apple M1,64,20.128494
AES-256-GCM,AEAD,Apple M1,256,31.1991504
AES-256-GCM,AEAD,Apple M1,1024,37.2669832
AES-256-GCM,AEAD,Apple M1,2048,41.9065608
AES-256-GCM,AEAD,Apple M1,4096,44.291566
AES-256-GCM,AEAD,Apple M1,8192,45.9182128
AES-256-GCM,AEAD,Apple M1,16384,46.4580112
HiAE,AEAD,Apple M1,64,10.96
HiAE,AEAD,Apple M1,256,46.1
HiAE,AEAD,Apple M1,1024,102.35
HiAE,AEAD,Apple M1,2048,127.97
HiAE,AEAD,Apple M1,4096,146.34
HiAE,AEAD,Apple M1,8192,156.63
HiAE,AEAD,Apple M1,16384,163.22
HiAE,Encryption Only,Apple M1,64,17.46
HiAE,Encryption Only,Apple M1,256,72.18
HiAE,Encryption Only,Apple M1,1024,126.88
HiAE,Encryption Only,Apple M1,2048,145.34
HiAE,Encryption Only,Apple M1,4096,156.5
HiAE,Encryption Only,Apple M1,8192,159.74
HiAE,Encryption Only,Apple M1,16384,166.31
Rocca,AEAD,Apple M1,64,17.225
Rocca,AEAD,Apple M1,256,48.65
Rocca,AEAD,Apple M1,1024,97.43
Rocca,AEAD,Apple M1,2048,117.255
Rocca,AEAD,Apple M1,4096,130.84
Rocca,AEAD,Apple M1,8192,138.705
Rocca,AEAD,Apple M1,16384,143.075
Rocca,Encryption Only,Apple M1,64,17.69
Rocca,Encryption Only,Apple M1,256,50.51
Rocca,Encryption Only,Apple M1,1024,99.74
Rocca,Encryption Only,Apple M1,2048,118.4
Rocca,Encryption Only,Apple M1,4096,131.13
Rocca,Encryption Only,Apple M1,8192,139.3
Rocca,Encryption Only,Apple M1,16384,143.01
Rocca-S,AEAD,Apple M1,64,12.59
Rocca-S,AEAD,Apple M1,256,37.67
Rocca-S,AEAD,Apple M1,1024,80.135
Rocca-S,AEAD,Apple M1,2048,98.83
Rocca-S,AEAD,Apple M1,4096,115.9
Rocca-S,AEAD,Apple M1,8192,125.58
Rocca-S,AEAD,Apple M1,16384,130.475
Rocca-S,Encryption Only,Apple M1,64,16.03
Rocca-S,Encryption Only,Apple M1,256,44.55
Rocca-S,Encryption Only,Apple M1,1024,86.14
Rocca-S,Encryption Only,Apple M1,2048,102.11
Rocca-S,Encryption Only,Apple M1,4096,109.69
Rocca-S,Encryption Only,Apple M1,8192,116.87
Rocca-S,Encryption Only,Apple M1,16384,119.9
SNOW-V,Encryption Only,Apple M1,64,8.72
SNOW-V,Encryption Only,Apple M1,256,17.6
SNOW-V,Encryption Only,Apple M1,1024,23.53
SNOW-V,Encryption Only,Apple M1,2048,25.04
SNOW-V,Encryption Only,Apple M1,4096,25.87
SNOW-V,Encryption Only,Apple M1,8192,26.69
SNOW-V,Encryption Only,Apple M1,16384,26.62
SNOW-V-GCM,AEAD,Apple M1,64,8.685
SNOW-V-GCM,AEAD,Apple M1,256,10.075
SNOW-V-GCM,AEAD,Apple M1,1024,10.41
SNOW-V-GCM,AEAD,Apple M1,2048,10.61
SNOW-V-GCM,AEAD,Apple M1,4096,10.38
SNOW-V-GCM,AEAD,Apple M1,8192,10.375
SNOW-V-GCM,AEAD,Apple M1,16384,10.6
AEGIS-128L,AEAD,Apple M2 Max,64,12.585
AEGIS-128L,AEAD,Apple M2 Max,256,38.13
AEGIS-128L,AEAD,Apple M2 Max,1024,77.34
AEGIS-128L,AEAD,Apple M2 Max,2048,93.51
AEGIS-128L,AEAD,Apple M2 Max,4096,104.025
AEGIS-128L,AEAD,Apple M2 Max,8192,110.065
AEGIS-128L,AEAD,Apple M2 Max,16384,113.705
AEGIS-128L,Encryption Only,Apple M2 Max,64,20.81
AEGIS-128L,Encryption Only,Apple M2 Max,256,50.84
AEGIS-128L,Encryption Only,Apple M2 Max,1024,89.39
AEGIS-128L,Encryption Only,Apple M2 Max,2048,101.33
AEGIS-128L,Encryption Only,Apple M2 Max,4096,106.44
AEGIS-128L,Encryption Only,Apple M2 Max,8192,111.97
AEGIS-128L,Encryption Only,Apple M2 Max,16384,115.56
AES-256-CTR,Encryption Only,Apple M2 Max,64,30.42
AES-256-CTR,Encryption Only,Apple M2 Max,256,57.87
AES-256-CTR,Encryption Only,Apple M2 Max,1024,78.16
AES-256-CTR,Encryption Only,Apple M2 Max,2048,83.26
AES-256-CTR,Encryption Only,Apple M2 Max,4096,84.35
AES-256-CTR,Encryption Only,Apple M2 Max,8192,86.33
AES-256-CTR,Encryption Only,Apple M2 Max,16384,87.07
AES-256-GCM,AEAD,Apple M2 Max,64,22.7077544
AES-256-GCM,AEAD,Apple M2 Max,256,37.265508
AES-256-GCM,AEAD,Apple M2 Max,1024,43.8265296
AES-256-GCM,AEAD,Apple M2 Max,2048,48.8877468
AES-256-GCM,AEAD,Apple M2 Max,4096,52.0504388
AES-256-GCM,AEAD,Apple M2 Max,8192,53.7280672
AES-256-GCM,AEAD,Apple M2 Max,16384,54.7224984
HiAE,AEAD,Apple M2 Max,64,11.285
HiAE,AEAD,Apple M2 Max,256,51.065
HiAE,AEAD,Apple M2 Max,1024,109.89
HiAE,AEAD,Apple M2 Max,2048,138.11
HiAE,AEAD,Apple M2 Max,4096,157.73
HiAE,AEAD,Apple M2 Max,8192,170.535
HiAE,AEAD,Apple M2 Max,16384,177.01
HiAE,Encryption Only,Apple M2 Max,64,19.81
HiAE,Encryption Only,Apple M2 Max,256,81.94
HiAE,Encryption Only,Apple M2 Max,1024,140.11
HiAE,Encryption Only,Apple M2 Max,2048,160.08
HiAE,Encryption Only,Apple M2 Max,4096,172.3
HiAE,Encryption Only,Apple M2 Max,8192,178.71
HiAE,Encryption Only,Apple M2 Max,16384,182.07
Rocca,AEAD,Apple M2 Max,64,20.085
Rocca,AEAD,Apple M2 Max,256,55.39
Rocca,AEAD,Apple M2 Max,1024,108.085
Rocca,AEAD,Apple M2 Max,2048,129.4
Rocca,AEAD,Apple M2 Max,4096,142.55
Rocca,AEAD,Apple M2 Max,8192,150.05
Rocca,AEAD,Apple M2 Max,16384,153.905
Rocca,Encryption Only,Apple M2 Max,64,21.11
Rocca,Encryption Only,Apple M2 Max,256,57.45
Rocca,Encryption Only,Apple M2 Max,1024,111.12
Rocca,Encryption Only,Apple M2 Max,2048,130.19
Rocca,Encryption Only,Apple M2 Max,4096,144.61
Rocca,Encryption Only,Apple M2 Max,8192,152.54
Rocca,Encryption Only,Apple M2 Max,16384,156.34
Rocca-S,AEAD,Apple M2 Max,64,14.095
Rocca-S,AEAD,Apple M2 Max,256,42.12
Rocca-S,AEAD,Apple M2 Max,1024,90.885
Rocca-S,AEAD,Apple M2 Max,2048,112.57
Rocca-S,AEAD,Apple M2 Max,4096,127.935
Rocca-S,AEAD,Apple M2 Max,8192,137.205
Rocca-S,AEAD,Apple M2 Max,16384,141.925
Rocca-S,Encryption Only,Apple M2 Max,64,18.23
Rocca-S,Encryption Only,Apple M2 Max,256,50.29
Rocca-S,Encryption Only,Apple M2 Max,1024,98.45
Rocca-S,Encryption Only,Apple M2 Max,2048,115.87
Rocca-S,Encryption Only,Apple M2 Max,4096,125.03
Rocca-S,Encryption Only,Apple M2 Max,8192,132.11
Rocca-S,Encryption Only,Apple M2 Max,16384,135.9
SNOW-V,Encryption Only,Apple M2 Max,64,9.31
SNOW-V,Encryption Only,Apple M2 Max,256,18.55
SNOW-V,Encryption Only,Apple M2 Max,1024,24.63
SNOW-V,Encryption Only,Apple M2 Max,2048,25.95
SNOW-V,Encryption Only,Apple M2 Max,4096,26.57
SNOW-V,Encryption Only,Apple M2 Max,8192,27.07
SNOW-V,Encryption Only,Apple M2 Max,16384,26.56
SNOW-V-GCM,AEAD,Apple M2 Max,64,9.755
SNOW-V-GCM,AEAD,Apple M2 Max,256,11.2
SNOW-V-GCM,AEAD,Apple M2 Max,1024,11.55
SNOW-V-GCM,AEAD,Apple M2 Max,2048,11.51
SNOW-V-GCM,AEAD,Apple M2 Max,4096,11.53
SNOW-V-GCM,AEAD,Apple M2 Max,8192,11.63
SNOW-V-GCM,AEAD,Apple M2 Max,16384,11.6
AEGIS-128L,AEAD,Apple M3 Pro,64,14.755
AEGIS-128L,AEAD,Apple M3 Pro,256,44.87
AEGIS-128L,AEAD,Apple M3 Pro,1024,92.535
AEGIS-128L,AEAD,Apple M3 Pro,2048,115.805
AEGIS-128L,AEAD,Apple M3 Pro,4096,130.14
AEGIS-128L,AEAD,Apple M3 Pro,8192,139.315
AEGIS-128L,AEAD,Apple M3 Pro,16384,144.245
AEGIS-128L,Encryption Only,Apple M3 Pro,64,27.77
AEGIS-128L,Encryption Only,Apple M3 Pro,256,60.59
AEGIS-128L,Encryption Only,Apple M3 Pro,1024,108.03
AEGIS-128L,Encryption Only,Apple M3 Pro,2048,125.97
AEGIS-128L,Encryption Only,Apple M3 Pro,4096,138.19
AEGIS-128L,Encryption Only,Apple M3 Pro,8192,144.02
AEGIS-128L,Encryption Only,Apple M3 Pro,16384,146.48
